,Text,Topic,Tone of Post,In-Group,Out-group,Narrator,Intolerance,Superiority of in-group,"Hostility to out-group (e.g. verbal attacks, belittlement, instillment of fear, incitement to violence)",Polarization/Othering,Perceived Threat,Character(s),Setting,Initiating Problem,Emotional response,Solution,Appeal to Authority,Appeal to Reason,Appeal to Probability,Conspiracy Theories,Irony/Humor
13,"jk rowling se joint à la bataille contre l’idéologie transgenre : l'auteure de la saga harry potter, , a apporté son soutien à et , les auteures du livre ""transmania"" qui traite de l'idéologie transgenre et de ses dérives, ainsi que de la question de la définition d'une femme.",gender/sexuality,"0 neutral, ambiguous or unclear",Media/Journalists,LGBTIQ+,Neutral Narrator,False,False,False,True,False,Explicit,False,True,False,False,False,True,False,False,False
14,"transition de genre. loin des caricatures et des postures idéologiques, voilà pourquoi le sénat, en conscience, a voulu protéger les mineurs d’actes irréversibles :",gender/sexuality,"0 neutral, ambiguous or unclear",Politicians/Government,LGBTIQ+,,False,False,False,True,False,Explicit,False,True,False,False,True,False,False,False,False
15,"le tribunal administratif condamne les statuts de l'université de grenoble rédigés en écriture dite ""inclusive"". une claque de plus pour le ""langage"" promu par le féminisme woke et les études de genre !",gender/sexuality,"0 neutral, ambiguous or unclear",The People,Feminists,Neutral Narrator,False,True,False,False,False,Explicit,False,False,True,False,True,False,False,True,False
16,"cette mère de deux jeunes enfants, autrice de littérature adulte et jeunesse, vient de publier la maternité. qu’est-ce que ça change ? selon elle, l’annonce d’une grossesse est toujours miraculeuse, et la maternité change la face du monde.",gender/sexuality,"0 neutral, ambiguous or unclear",The People,Feminists,Neutral Narrator,False,False,False,False,False,Explicit,False,False,True,False,False,False,False,True,True
17,"la propagande sur l’identité de genre, tu veux dire?",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",The People,LGBTIQ+,Narrator part of in-group,False,False,True,False,True,Explicit,False,True,False,False,False,True,False,False,False
18,"mesdames et messieurs, nous tenons ici le premier concept de prostitution éco-responsable. avec une consommation locale et des éjac éthiques, sploutchez responsable et boycottez l’industrie du sperme qui écrase les petites productrices.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",The People,LGBTIQ+,Narrator part of in-group,True,False,False,False,False,Implicit,True,False,False,True,False,True,False,False,False
19,"ivgdanslaconstitution l’idéologie du genre, le jeunisme perpétuel et la permissivité égalitariste aberrante qui entravent la fonction parentale anéantissent l’évolution sociale de l’enfant comme l’avortement extermine son évolution biologique.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Other,Politicians/Government,Narrator part of in-group,True,False,False,False,False,Explicit,False,True,False,False,False,True,False,False,True
20,"une femme jeune, très fertile et qui sort beaucoup définira la virilité comme étant ""sexy"", ""attirant"". une mère célibataire dira qu'un homme viril c'est un homme qui ""prend les choses en main et est prêt à s'engager"". c'est ce qui les arrange selon leur tranche d’âge.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Other,Feminists,Neutral Narrator,True,False,False,True,False,Explicit,True,False,False,False,False,True,False,False,True
21,":rainbow_flag:une lesbienne et trans dénonce la maltraitance chirurgicale des enfants dans la mode du wokisme : camille paglia critique l’explosion des identités de genre tandis que l’onu veut donner une ""place spéciale"" aux personnes transgenres dans son agenda.",gender/sexuality,"0 neutral, ambiguous or unclear",Media/Journalists,Feminists,Neutral Narrator,True,True,False,False,False,Explicit,True,False,True,False,True,False,False,True,False
22,"c'est au nom de la liberté qu'il faut interdire les traitements de transition de genre chez les mineurs. la pédopsychiatre caroline eliacheff, interviewée par , rappelle l'importance de la responsabilité des adultes.",gender/sexuality,"0 neutral, ambiguous or unclear",Scientists/Academics,LGBTIQ+,Narrator part of in-group,False,False,False,True,False,Explicit,False,False,False,True,False,True,False,False,False
23,"l'ex femme d'un homme qui a transitionné en femme raconte: ""mon ex m'imitait. il imitait mes manières et mon rire. il copiait ma coiffure et ma couleur de cheveux. même son opération du nez ressemble à mon nez. il portait mes vêtements. il me regardait faire mon maquillage. je pensais juste que nous discutions jusqu'à ce que je lise dans ses messages qu'il m'observait pour apprendre. il a dit à plusieurs personnes qu'il était la mère de nos enfants et qu'il les avait mis au monde, qu'il avait pu tomber enceinte grâce à un don de sperme. apparemment, selon lui, je suis lesbienne (personne ne m'a informée... sauf son thérapeute fou une fois). il a raconté chaque détail de mes accouchements comme si c'était les siens. c'est moi à gauche et lui il est à droite. il s'est fait faire une frange peu de temps après que ma photo à gauche ait été prise.""",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Heterosexual People,LGBTIQ+,Narrator part of in-group,True,False,False,True,True,Explicit,True,False,True,False,False,True,False,False,True
24,"en explorant la transition de genre en sens inverse, le regret des personnes trans d'avoir changé de genre et qui, finalement, ont voulu revenir à leur sexe d'origine, cette chronique interroge à la fois la transphobie et la dysphorie.",gender/sexuality,"0 neutral, ambiguous or unclear",Media/Journalists,LGBTIQ+,Narrator part of in-group,False,False,False,False,False,Explicit,True,False,True,False,False,True,False,False,True
25,"l’onu acquise à l’idéologie transgenre efface le terme sexe au profit de la notion de genre, ce qui n’a aucun sens. ce qui est important c’est l’égalité des droits pour les 2 sexes. l’égalité de genre ne veut rien dire, car le genre est un ensemble de stéréotypes qui sert justement à accentuer la différentiation entre les hommes et les femmes. on veut l’égalité des droits pour les 2 sexes, pas l’égalité des genres, ni des sexes car on ne veut pas l’effacement des différences. incroyable que l’onu ne soit même plus capable d’utiliser un vocabulaire correct, et tombe la tête la première dans la novlangue queer.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Heterosexual People,European Actors,Unclear,True,False,False,True,False,Explicit,True,False,True,False,True,False,False,False,True
26,"sos homophobie, association qui a reçu 147 300 euros de la ville de paris et 204 950 de la délégation interministérielle (dilcrah), utilise l'argent du contribuable pour attaquer et moi pour avoir écrit le livre transmania, qui dénonce les dérives de l'idéologie trans. ils veulent nous faire taire par tous les moyens. c’est indirectement la ville de paris et le gouvernement qui financent donc ce genre d’attaque contre la liberté d’expression et d'information… prenez-en note, c’est très grave et parlez de ce qui se passe. soutenez-nous ! lisez le livre ! faites-le circuler ! défendez-nous ! refusez que votre argent serve à menacer ceux et celles qui se battent pour faire éclater la vérité.",gender/sexuality,"0 neutral, ambiguous or unclear",Heterosexual People,LGBTIQ+,Narrator part of in-group,True,True,True,False,False,Explicit,True,True,True,True,False,True,False,False,False
27,"ce que les réseaux sociaux ont fait aux standards de beauté féminins : avant, elles étaient uniques. maintenant elles sont identiques.",gender/sexuality,"0 neutral, ambiguous or unclear",Feminists,Media/Journalists,Unclear,True,False,False,False,False,Explicit,True,False,False,False,False,True,False,False,True
28,"en espagne, des soldats ont changé de genre pour bénéficier d'avantages matériels et financiers réservés aux militaires femmes. cette chronique s'attaque à l'actualité de la loi trans.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Heterosexual People,LGBTIQ+,Unclear,False,False,False,True,False,Explicit,True,True,False,False,False,True,False,False,False
29,"résumons : ils nous les brise menu dans les écoles où ils mènent des campagnes de dingue pour lutter contre les « stéréotypes de genre ». en clair, une femme ne doit pas ressembler à une femme et un homme pas ressembler à un homme. mais quand ils veulent se prendre pour des femmes, les mêmes en adoptent les pires stéréotypes et jusqu’à la caricature : dune du pilat en guise de cheveux, maquillage réalisé à la gouache par un artiste peintre, lustres et appliques autour du cou, ongles plus longs qu’un katana. le tout pour ressembler au sapin de noël géant du maddison square garden. la france va devenir la risée du monde.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Heterosexual People,LGBTIQ+,Narrator part of in-group,True,False,False,False,False,Explicit,True,False,False,False,False,True,False,False,False
30,"lsf réclame la refonte totale du site : imprégné de l'idéologie du genre, ce site du dédié aux 11-18 ans, banalise les transitions de genre et propose une approche purement fonctionnelle de la sexualité, inadaptée.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",The Elite/Establishment,LGBTIQ+,,False,False,False,False,False,Implicit,False,False,False,False,False,False,False,False,False
31,"voici une femme politique qui fait correctement son travail et qui se renseigne sur les dérives de l'idéologie transgenre. chose que devraient faire tous les personnages politiques dignes de ce nom, à droite, à gauche et au centre. merci",gender/sexuality,1 positive,Politicians/Government,LGBTIQ+,Narrator part of in-group,False,False,False,False,False,Explicit,False,False,False,False,False,False,False,False,False
32,changement de sexe : le revirement d’une pédopsychiatre en finlande,gender/sexuality,"0 neutral, ambiguous or unclear",Scientists/Academics,LGBTIQ+,Neutral Narrator,False,False,False,False,False,Explicit,True,False,False,False,False,False,False,False,False
33,"""certains militants transgenristes postent ce genre d’images ou l’on voit et moi se prendre une balle dans la tête. la violence trans.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,LGBTIQ+,Narrator part of in-group,True,False,False,False,True,Explicit,True,False,False,False,True,False,False,False,False
34,«c'est le film le plus gay que j'ai jamais fait» : alan cumming revient sur son rôle dans «x-men 2»,gender/sexuality,"0 neutral, ambiguous or unclear",LGBTIQ+,Media/Journalists,Neutral Narrator,False,False,False,False,False,Implicit,False,False,False,False,False,False,False,False,False
35,":red_circle: victoire pour les droits des femmes au ! grâce à la mobilisation de parlementaires, et en particulier de . ce dernier est l’auteur d’un amendement qui inclut la gpa dans les cas de traite humaine. :link:",gender/sexuality,1 positive,Feminists,Politicians/Government,Narrator part of in-group,False,False,False,False,False,Explicit,True,False,False,False,True,False,False,False,False
36,""":red_circle: « l’avortement est un acte banalisé dans la plupart des sociétés modernes », souligne matthieu lavagna :pregnant_woman:face à un acte méconnu qui se banalise, il est nécessaire de réfléchir à ce qu'est une ivg, biologiquement et moralement, appelle matthieu lavagna.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,Christians,Narrator part of out-group,True,False,False,True,False,Implicit,False,False,False,False,False,True,False,False,False
37,"mexique &gt; «concernant la maternité de substitution gpa, l'idée est de légiférer pour l'interdire dans la constitution, qui reste du pouvoir exclusif du congrès fédéral. ""si nous ne légiférons pas, nous condamnons les femmes à l’esclavage."" »",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,Politicians/Government,Neutral Narrator,False,False,False,False,True,Explicit,False,False,False,True,True,False,False,False,False
38,"la féministe julia pietri explique la sexualité à deux enfants de 5 et 7 ans dans son « petit guide de la foufoune sexuelle » : a cinq ans, on joue au playmobil, au ballon, on regarde des dessins animés et surtout on pense que les appareils génitaux",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,The People,Narrator part of out-group,True,False,False,False,False,Implicit,False,True,False,False,False,True,False,False,True
39,"des femmes en garde à vue pour avoir déployé une banderole. quoiqu'on pense du message, c'est révoltant.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,Politicians/Government,Unclear,True,False,False,False,False,Explicit,True,False,True,False,False,True,False,False,False
40,"marie cau, maire transgenre, me traite de nazi, car je dis qu’il existe 2 sexes et qu’une femme est une femelle adulte humaine, ce qu’il ne sera jamais. cet homme m’a attaqué en justice pour « appel à la haine » avec des assos lgbt car j’ai dit qu’il est un homme transféminin, et non pas une femme. depuis il semble faire une fixette totalement malsaine et vraiment très inquiétante sur moi. faire un parallèle entre le régime nazi et les femmes qui savent qu’être une femme est une réalité biologique et non pas un ressenti, est totalement perfide et vicieux. il est absolument inacceptable qu’un élu se comporte de la sorte en france.",gender/sexuality,"-2 negative and insulting/abusive, aggressive attitude",Heterosexual People,LGBTIQ+,Narrator part of in-group,True,True,False,True,False,Explicit,True,True,True,False,False,True,False,False,False
41,"football : la ""lutte contre l'homophobie"" se complique ! - par sarah-louise guille football homophobie contrairement à la lutte contre le racisme, celle contre l’homophobie ne fait pas consensus dans le football...",gender/sexuality,"0 neutral, ambiguous or unclear",LGBTIQ+,The People,Neutral Narrator,True,True,False,False,True,Explicit,True,False,False,False,False,True,False,False,False
42,"cabale contre la philosophe féministe kathleen stock taxée de transphobe. son tort ? dire que le sexe biologique est une réalité inaliénable. face à l'obscurantisme woke qui nie la réalité et veut museler ceux qui ne pensent ""pas bien"", on ne lâche rien !",gender/sexuality,"-2 negative and insulting/abusive, aggressive attitude",Feminists,LGBTIQ+,Unclear,False,False,False,True,False,Explicit,False,True,False,False,False,True,False,False,False
43,":herb: la représentation de la femme dans l’art européen par delà la contingence des époques qui se succèdent demeurent des permanences esthétiques qui nous rappellent ce que nous sommes. l’art européen porte un regard anthropologique sur la femme qui lui est propre. aucune autre civilisation n’a autant célébré la féminité dont les expressions sont multiples. que la femme soit représentée comme figure cosmique, divinité, muse, miroir de sagesse, maîtresse du foyer ou encore combattante, nous faisons le constat que la tradition européenne a toujours donné un rôle central à la femme. europeennes2024 europe art",gender/sexuality,1 positive,Feminists,The Elite/Establishment,Narrator part of in-group,False,True,False,False,False,Explicit,True,False,False,False,False,False,False,False,False
44,:movie_camera: [i-média] jo - eurovision : la propagande trans,gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",LGBTIQ+,Media/Journalists,Neutral Narrator,True,False,True,False,False,Explicit,False,True,False,False,False,False,False,True,False
45,tant de bêtise et d’ignorance mêlées. ce serait drôle si ce n’était pas dramatique.,nation,"-2 negative and insulting/abusive, aggressive attitude",Politicians/Government,Media/Journalists,Narrator part of out-group,True,True,False,False,False,Implicit,False,False,False,False,False,False,False,False,False
46,"accusé par son filleul d’agression sexuelle, la macronie protège dominique boutonnat. il a été renouvelé à la tête du cnc et nommé au conseil d’administration de france télévision (màj : 3 ans de prison ferme requis)",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Media/Journalists,Politicians/Government,Narrator part of in-group,False,False,False,False,False,Explicit,True,False,False,False,False,False,False,False,True
47,: une grande dame répond à un tout petit monsieur. soutien,nation,1 positive,Right,Left,Narrator part of in-group,False,True,False,False,False,Implicit,True,False,False,False,False,False,False,False,False
48,"demain, le 5 mai, aura lieu partout en france des manifestations contre notre livre transmania et contre la loi des républicains qui vise à interdire la transition des mineurs. exactement au même moment ou la france woke se soulève pour hurler dans la rue qu’il serait transphobe de s’opposer à la transition des mineurs, et à la protection des espaces destinés aux femmes, la nhs, le système de santé anglais viens de définir officiellement le sexe comme une « réalité biologique », réalité déterminante dans les soins apportés aux patients. il ne sera plus possible pour les hommes transféminins d'accéder aux espaces intimes réservés aux femmes. la nhs est-elle « transphobe » ? non. elle fait preuve de bon sens. nous rappelons aussi que 5 pays européens, angleterre, la finlande, la norvège, la suède et le danemark ont décidé de restreindre ou interdire les transitions des mineurs et mettent désormais en lumière le fait que les bloqueurs de puberté sont susceptibles d'interrompre le développement cérébral, de réduire la densité osseuse, de provoquer une infertilité et une inorgasmie à l’âge adulte, et d’obliger les adolescents à s’engager dans des traitements hormonaux irréversibles. il est urgent que les décideurs français fassent leur travail et se mettent à lire les rapports à ce sujet au lieu de dire n’importe quoi par clientélisme malsain: le rapport cass, l’enquête sur la clinique de genre tavistock etc. est-ce « transphobe » de vouloir protéger les enfants d'un marché qui ne profitera qu'à une industrie pharma en mal de profits ? non. tous ceux qui veulent nous empêcher d'en parler ont vendu leur âme au diable. ces procès abusifs pour ""transphobie"" sont une arnaque intellectuelle. on se réveille.",gender/sexuality,"0 neutral, ambiguous or unclear",Right,LGBTIQ+,Narrator part of in-group,True,False,True,False,False,Implicit,True,True,False,False,False,True,False,False,False
49,: brigitte enceinte!,gender/sexuality,"0 neutral, ambiguous or unclear",Politicians/Government,Political Party,Narrator part of in-group,False,False,True,False,False,Explicit,False,False,False,False,False,False,False,False,False
50,": :red_circle: l’ancien député rn depuis la dissolution, frédéric cabrolier, a signalé à la police qu’une femme vêtue de noir, voilée…",nation,"0 neutral, ambiguous or unclear",Muslims,Right,Unclear,False,False,False,True,False,Explicit,True,False,False,False,False,False,False,True,False
51,":police_car_light: aucune femme ne doit craindre pour la fin de ses droits. :france: avec jordan bardella et marine le pen, nous serons toujours du côté de celles qui se battent pour leur dignité ! bardellapremierministrer législativesanticipées",gender/sexuality,1 positive,Feminists,Right,Narrator part of out-group,False,False,False,False,False,Implicit,False,False,False,False,False,False,False,False,False
52,une femme préfèrera toujours se faire briser le cœur par un connard plutôt que d’épouser un homme gentil avec qui elle s’ennuie. peu comprendront.,gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,Other,Narrator part of out-group,True,False,False,False,False,Explicit,True,False,False,False,False,True,False,False,False
53,": le jour où une femme de la bourgeoisie ""prêtera"" son ventre à un couple du peuple on reparlera de la gpa dite non comme…",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,Other,Narrator part of out-group,True,False,False,False,False,Explicit,False,False,False,False,False,False,False,True,False
54,"l'immigration incontrôlée entraîne une explosion de l'insécurité. en ile-de-france, 93% des vols commis et 63% des agressions sexuelles commises dans les transports sont le fait d'étrangers. je suis favorable à un tournant de fermeté en matière migratoire ! levenement",nation,"-1 negative and polite, dialogue-oriented attitude",Immigrants/Asylum Seekers,Far-Right,Narrator part of out-group,True,False,False,True,True,Explicit,True,True,False,False,False,True,False,True,False
55,"pour eelv, jeanne d'arc est une « icône de la transidentité » - par jean kast jeannedarc eelv certains ne résistent pas à la tentation de plaquer sur le passé une grille de lecture contemporaine.",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",LGBTIQ+,Right,Narrator part of in-group,False,True,False,False,False,Explicit,False,False,True,False,False,False,False,False,True
56,"donc maintenant être un homme qui se respecte c’est être misogyne :face_with_tears_of_joy: cette vidéo illustre simplement ce que je dis depuis le début : le bodycount n’est pas un critère pour juger qu’un homme est de valeur, tandis qu’il en est un pour les femmes.",gender/sexuality,"0 neutral, ambiguous or unclear",Heterosexual People,Feminists,Narrator part of in-group,True,False,False,True,False,Implicit,False,False,False,False,False,False,False,False,True
57,": le styliste jacquemus et son mari ont acheté deux bébés sur catalogue : mia et sun rappelons l'ignoble déclaration de pierre bergé:rainbow_flag:: « louer son ventre pour faire un enfant ou louer ses bras pour travailler à l’usine, quelle différence ? » gpa",gender/sexuality,"-2 negative and insulting/abusive, aggressive attitude",Family,LGBTIQ+,Narrator part of in-group,True,False,True,False,False,Explicit,True,False,False,False,False,False,False,True,False
58,":black_circle: avis de recherche du ministère de la famille :black_circle: le ministère des solidarités et des familles a disparu. devient ""chargée de l’egalité femmes-hommes et de la lutte contre les discriminations."" quel signal pour les millions de familles françaises !",nation,"-1 negative and polite, dialogue-oriented attitude",Family,Politicians/Government,Unclear,False,False,False,False,True,Explicit,False,True,False,False,False,True,False,False,True
59,"« quand j'ai vu cette femme ironiser sur le bébé qui a été cuit au four, j'ai été pris d'effroi. soit c'est un rire complice, soit c'est un rire qui puise son origine dans la bêtise la plus indicible. quoi qu'il en soit, on est ici dans l'inhumanité la plus crasse.»",nation,"-2 negative and insulting/abusive, aggressive attitude",Media/Journalists,Media/Journalists,Narrator part of in-group,False,True,True,False,False,Implicit,True,False,True,False,False,False,False,True,False
60,"pour la porte-parole du , s'inquiéter de l'absence de mère relèverait donc de l'homophobie. quitte à justifier une pratique inhumaine où la mère est invisibilisée et l'enfant, objet d'un contrat ! où sont les féministes ?",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Politicians/Government,Feminists,Unclear,False,True,False,False,True,Explicit,True,True,False,False,False,False,False,False,True
61,pour la 1ere fois une femme au mexique est présidente : claudia sheinbaum la france est très en retard par rapport au reste du monde. femmesenpolitique,nation,"-1 negative and polite, dialogue-oriented attitude",Media/Journalists,Nation/Own Country,Unclear,False,False,False,False,False,Explicit,True,False,False,False,True,False,False,False,False
62,:red_circle: voilà ce qui arrive aux femmes qui portent des mini-jupes en france en 2024 : se faire insulter et tabasser en pleine rue. pendant que les deux agresseurs ressortent libres du commissariat jusqu’au procès. tout mon soutien à ces femmes et leurs compagnons !,gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Feminists,Public Sector,Narrator part of in-group,True,False,False,True,False,Explicit,True,False,True,False,True,False,False,False,True
63,"""le foot, c'est trop terrible. le psg, encore plus. je crois que j'ai plus souffert avec le psg qu'avec aucune femme dans ma life."" benjamin nau. vie de bureau. 16h34.",gender/sexuality,"0 neutral, ambiguous or unclear",Media/Journalists,Other,Narrator part of in-group,False,True,False,True,False,Explicit,False,True,False,False,False,False,False,False,False
64,"témoignage rare & poignant d’alexandra, une personne dite intersexe qui s’exprime sans tabous sur : :minus: son parcours de vie ; :minus: sa pathologie ; :minus: son anatomie ; :minus: la réalité de la vaginoplastie ; :minus: les assos trans qui délirent. l’avant-premiere ici :backhand_index_pointing_right:",gender/sexuality,"0 neutral, ambiguous or unclear",Media/Journalists,LGBTIQ+,Narrator part of in-group,False,False,False,False,True,Explicit,True,False,False,False,False,False,False,False,False
65,"""dès le départ, le féminisme se fonde sur un refus de la biologie"" : eve vaguerlant sur son livre ""l'effacement des mères"" ( ) :laptop:",gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Right,Feminists,Narrator part of in-group,False,False,True,False,False,Implicit,True,False,False,False,False,True,False,False,False
66,"faitesdespères2024 :evergreen_tree: c'est edouard, le père de mes 2 filles, qui ouvre le bal de la première édition de cette ode à la paternité. j'espère qu'elle vous émouvra et vous inspirera autant que moi :smiling_face_with_hearts:",gender/sexuality,1 positive,Media/Journalists,Family,Narrator part of in-group,False,False,False,False,False,Explicit,True,False,False,False,False,False,False,False,False
67,"ce sont les propos les plus répugnants que j’ai jamais entendus dans la bouche d’une femme. le pire c’est qu’elle est capable d’agir ainsi et d’attendre d’un homme qu’il lui offre des fleurs, la traite comme une princesse et l’invite au restaurant. ne vous faites pas avoir.",gender/sexuality,"-2 negative and insulting/abusive, aggressive attitude",The People,Feminists,Narrator part of in-group,False,False,False,True,False,Implicit,True,False,False,True,False,False,False,False,False
68,:woman_light_skin_tone: : « je veux un mec timide et gentil ! » *sors avec un bad boy demi cas-social* les femmes ne savent pas ce qu’elles veulent. regardez ce qu’elles font au lieu d’écouter ce qu’elles disent. vous connaîtrez leurs désirs les plus profonds.,gender/sexuality,"-1 negative and polite, dialogue-oriented attitude",Other,Feminists,Narrator part of in-group,False,False,True,True,False,Explicit,False,True,False,True,False,False,False,True,False
