Document,Topic,pos dataset 10K (starting from 0)
"j'ai combattu les accords de libre-échange avec des pays qui ne respectent aucune des normes sociales et sanitaires qu'on impose aux agriculteurs français. nous souhaitons le patriotisme économique : dans les cantines françaises, on doit consommer de la viande française.",Nation,365
"j’apprends avec consternation que le frontpopulaire a parachuté philippe poutou, à trèbes, là où le colonel beltrame a été tué par un jihadiste, alors que le npa est poursuivi pour avoir qualifié le 7 octobre d’acte de résistance. je n’ai plus les mots.",Nation,397
:movie_camera: « allez-vous enfin placer notre agriculture :france: en tête de votre engagement ? ». j’ai alerté sur les conséquences de l’adhésion de l’ukraine dans l’union européenne sur l’agriculture française. directan,Nation,411
"la mondialisation libérale et ses partisans œuvrent activement à l'éradication du paysan français qui nous nourrit, rappelle michel onfray dans front populaire n°17 :closed_book: :backhand_index_pointing_down:",Nation,477
"la france ne peut pas être le seul pays au monde à imposer des normes à ses producteurs, mais à les mettre en concurrence déloyale avec des produits venus du bout du monde. comme toutes les autres puissances, on doit se protéger quand c’est nécessaire. belfort",Nation,483
":bell:nouvelle vidéo:bell: entretien avec des agriculteurs. ils parlent de leur quotidien et des choix politiques qui ont mené l'agriculture française au bord de l'abîme. bref, du local et du global. merci à eux, courage à tous :blue_heart::white_heart::red_heart:",Nation,557
"très très bien, cher françois ! utilisons donc ces deux mots, ne serait-ce qu’en signe de solidarité avec nos frères québécois : - fausse nouvelle &amp; - magasinage cellulaire en option, mais plus difficile à faire passer, d’autant que presque tout le monde dit « portable » !",Nation,585
":red_circle: comment expliquer que la france ait 100 substances phytosanitaires autorisées de moins que les autres pays européens ? cette situation laisse notamment nos filières :france: de fraises, de noisettes ou de betteraves dans une situation de concurrence hautement déloyale. :right_arrow_curving_down:",Nation,590
"la culture de la vanille, un savoir-faire traditionnel !",Nation,611
"en nouvelle-calédonie comme en métropole, l’état a perdu le contrôle. je me mets à la place de nos compatriotes qui sont effarés devant l’effondrement d’un état qui ne les protège plus nulle part. mon interview au figaro &gt;",Nation,674
":tractor: face à des normes de plus en plus contraignantes et une concurrence déloyale imposées par l’ue, nous continuerons à défendre notre modèle :france: d’exploitation agricole familiale. un grand merci à la famille jonglas pour leur accueil chaleureux !",Nation,690
"« ils voulaient casser du blanc » : comme à crépol, un bal de jeunes agriculteurs a été attaqué par une bande de cité à murinais (38). les prémices de la guerre civile se voient jusque dans nos campagnes.",Nation,708
la deuxième partie de mon edito sur la nouvelle-calédonie.,Nation,730
"« a bruxelles, l'écologie radicale s'est imposée jusqu'à devenir un véritable diktat en générant des normes absurdes qui sont criminels pour nos agriculteurs. il existe même une police écolo, l'ofb, chargée de traquer le moindre faux pas de nos paysans. on est chez les fous !»",Nation,766
":red_circle: « ce n’est pas à moi de déterminer ce qui devrait être fait ou pas, mais c’est au peuple de retrouver sa capacité à s’autodéterminer » juan branco sur le souverainisme et la démocratie :movie_camera:",Nation,768
"l’allemagne fait les mêmes erreurs que la france. plutôt que de protéger son agriculture elle préfère supprimer les exonérations de taxes sur le diesel agricole, condamnant ainsi cette dernière. les agriculteurs sont l’avenir et les bases de nos indépendances nationales. « stop…",Nation,777
"les agriculteursencolère de retour ? les mesurettes prises pour les faire rentrer dans les fermes ne servent à rien. le problème principal (au-delà de la mauvaise gestion macroniaise) est à bruxelles, car c’est là où se situe le vrai pouvoir.",Nation,817
"le maire de grande-synthe où a été massacré philippe, a réagi de la façon suivante : ""ne cédons pas à la peur, ni à l’esprit de vengeance. continuons à défendre le 'vivre ensemble' dans notre ville. continuons à œuvrer pour l'éducation, la bienveillance et la fraternité."" mais",Nation,820
"« on va donner un bel avenir à l’agriculture française. pas seulement parce qu’on aime nos agriculteurs, mais aussi parce qu’il en va de l’intérêt supérieur de notre pays. » retour sur ma journée au salon international de l’agriculture :right_arrow_curving_down:",Nation,857
"il y a une barbarie d'atmosphère qui n'épargne plus nos rues, nos transports en commun, notre école. tous les indicateurs de violences sont en hausse. nous ferons du rétablissement de l'ordre l'engagement premier si nous sommes élus à la tête de l’état.",Nation,883
":poland: janusz wojciechowski (pis), commissaire européen à l’agriculture : « en tant qu’ancien juge, ancien membre du conseil national de la magistrature et ancien chef de la cour suprême des comptes, j’observe la politique polonaise et beaucoup de choses me préoccupent » il critique",Nation,977
"« la réalité de ce gouvernement, c'est qu'il met en compétition nos agriculteurs avec le monde entier en votant des accords de libre échange tout en : :backhand_index_pointing_right:augmentant les normes :backhand_index_pointing_right:augmentant les taxes. » legrandjury votezmarion",Nation,979
"l’agriculture est le bien commun de tous les français. lorsque nous arriverons aux responsabilités, nous redonnerons à l’agriculture française toute la place qu’elle mérite dans notre pays. vous êtes la france qu’on aime, merci à tous. tenez-bon, on arrive ! :france:",Nation,992
nouvelle-calédonie : emmanuel macron demande «la levée définitive de tous les barrages»,Nation,1013
":tractor: agriculteursencolère : le gouvernement ne peut pas dire qu’il n’était pas au courant. depuis des mois, j’interpelle, avec d’autres parlementaires, ce dernier sans que jamais ne soit proposé un début de solution aux difficultés de ceux qui nous nourrissent !",Nation,1022
"le plus grave n’est pas l’humiliante mise sous tutelle de valérie hayer. le plus grave, c’est l’instrumentalisation du débarquement par le premier ministre. ceux qui sont morts pour la liberté du monde méritent mieux que cette pitoyable tentative de récupération politicienne.",Nation,1037
« tomates cerises: les producteurs voient rouge face à la montée du marché marocain en france » :right_arrow: il faut surtout qu’ils voient et votent frexit car c’est l’ue qui pilote intégralement notre commerce (« compétence exclusive ») et en l’an 2000 elle a décidé un accord de…,Nation,1042
2/3 idem: les normes ue sur l’entretien des haies &amp; le curage des fossés sont si absurdes que les paysans ne peuvent entretenir les territoires qu’en les enfreignant etc. en fait nos dirigeants ont choisi la mort des paysans comme ils ont choisi la mort en tout domaine: ils ont..,Nation,1058
"les agriculteurs n’ont jamais demandé de prix plancher ! il sont allés dans la rue pour s’opposer aux législations du pacte vert. ils ne veulent pas de l’aumône, ils souhaitent vivre simplement de leur travail ! debatbfm votezmarion",Nation,1150
":red_circle: le nouveau front populaire va-t-il durer ? :speaking_head: ""je ne veux pas que l'extrême droite prenne le pouvoir dans notre pays... pour ça on doit être unis"" -",Nation,1157
":red_circle: « en refusant de traiter avec elles, les partis traditionnels ont légitimé le discours antisystème des nationalistes », affirme charles sapin :right_arrow_curving_down: :speaking_head: ""cette mise à l’écart a fini par être perçue comme un déni de démocratie""",Nation,1167
rdv midi midinews - immigration sondage quelle souveraineté? - bayrou le caillou dans la chaussure macron attal - insécurité ce qu’exigent les français autorite - agriculteurs la colère pas éteinte - marinelepen de la dediabolisation à la normalisation?,Nation,1175
"les agriculteurs représentent tout ce que le pouvoir parisien déteste : la perpétuation d'une tradition historique et (souvent) d'un héritage familial, la ruralité girondine, l'enracinement au sens propre, le travail sans compter, la fierté française. en cela, leur combat est…",Nation,1187
"ce n’est pas en subventionnant l’arrachage de milliers d’hectares de vigne qu’on défend la viticulture. le gouvernement a stigmatisé le vin, privé les viticulteurs d’outils de production et les a mis en concurrence déloyale. si son but était de tuer la viticulture, c’est réussi !",Nation,1229
"j’étais ce vendredi dans une exploitation agricole du loiret, avec les députés et . c’était important, pour mon premier déplacement de cette campagne, d’être auprès des agriculteurs, qui sont des piliers de la puissance française :right_arrow_curving_down:",Nation,1258
"multiplication des accords de libre-échange, concurrence déloyale, green deal, écologie punitive, énergie hors de prix, inflation normative : l'europe de macron est en train de tuer nos agriculteurs et de ruiner l'agriculture française. débatbfm",Nation,1269
le parlement européen vient d’enfoncer un nouveau couteau dans le dos des agriculteursencolère sur l’ukraine ! tout en faisant croire qu’il les soutient : quel cynisme ! il vient en effet par un vote de prolonger à compter du 5 juin 2024 les importations de produits agricoles…,Nation,1286
tout est dit ici intelligemment. la révolte paysanne s’étend : europe enracinée contre ue hors-sol via,Nation,1299
"les chambres d’agriculture sont les grandes oubliées de cette loa. de par leurs rôles de conseil et d’assistance auprès des agriculteurs, elles doivent être associées aux politiques d’orientation et de formation agricoles pour une réelle efficacité. article2",Nation,1300
:tractor: près de 1500 personnes présentes ce soir pour écouter le riche bilan de l’année 2023 de la . l’occasion pour les agriculteurs d’échanger sur leurs revendications et de montrer leur détermination.,Nation,1312
"législatives : philippe poutou, qui veut désarmer la police, parachuté à trèbes, ville où est mort arnaud beltrame : ""on peut comprendre qu'à trèbes, ça l'a fait un peu mal... surtout quand on voit ce que disait le programme 2022 du npa !""",Nation,1324
"depuis des siècles et partout dans notre france rurale, les foires rythment la vie des français et mettent en avant notre paysannerie et nos artisans locaux.",Nation,1415
"le rapport tumultueux de macron avec les agriculteursencolere est dû à ses mensonges. alors que les paysans réclament la fin d’un système globalisé, mondialisé, financiarisé, déshumanisé, macron persiste à imposer ce modèle, sous un double langage. derrière la colère rurale, le…",Nation,1423
"«avec la révolte des agriculteurs, nous sommes face à un choix de société et de civilisation». magnifique entretien avec pierre vermeren par . a lire dans le et ... agriculteursencoleres blocusdeparis",Nation,1447
l'insécurité au québec.,Nation,1454
":red_circle: la situation est incontrôlable en nouvellecalédonie. déjà 2 morts suite aux nombreuses émeutes. comme le demande , il faut immédiatement proclamer l’état d’urgence afin de protéger la population.",Nation,1460
présidentielle 2027 : philippe entend rassembler «de la droite conservatrice à la gauche mitterrandienne» en d'autres mots: préparer une nouvelle escroquerie politique et surtout la survie du système !,Nation,1523
"l’article 8 de cette loiagricole était censé apporter des mesures visant à favoriser l’installation des agriculteurs, la transmission des exploitations et les conditions d’exercice de l’activité agricole. il s’avère finalement un simple exercice de communication… :right_arrow_curving_down: directan",Nation,1525
":red_circle: qui dit encore que nous sommes nés trop tard pour ceci et trop tôt pour cela ?! on arrive pile au moment où se dessine la grande confrontation idéologique et concrète entre deux camps qui s'affrontent depuis la nuit des temps. :skull: d'un côté, l'idéologie de gauche. cette",Nation,1535
"nos agriculteurs n'arrivent plus à vivre de leur travail. il faut rompre avec l'écologie punitive du green deal, qui porte en elle l'idée de décroissance agricole, et il faut faire du patriotisme économique: je crois dans la puissance agricole française. dimpol",Nation,1581
par curiosité : - que fait-on si le canada dans lequel nous évoluons fait de moins en moins de place au québec? - si son poids politique et démographique y régresse sans cesse ? - si le français ne cesse de régresser à la fois à ottawa et au québec - à cause de la politique…,Nation,1673
"quel bonheur d’être parmi vous dans le lot-et-garonne, au cœur de notre france rurale fière de ses agriculteurs et de ses traditions populaires.",Nation,1715
":movie_camera: « plus de 70 personnes qui ont été interpellées pour être rentrées dans rungis et on parlait, peut être, d’une porte abîmée… ». les agriculteurs lot-et-garonnais n’ont pas à être traités comme des voyous !",Nation,1785
le dernier référendum a eu lieu en 1995. cela fait presque 30 ans. j'avais 15 ans. il ne t'a pas échappé que le canada a beaucoup évolué depuis. il ne t'a pas échappé que l'avenir du québec français est compromis comme jamais dans le canada. il ne t'a pas échappé que le…,Nation,1794
"l’union européenne, avec ses commissaires à la mondialisation, n'est pas sans rappeler l’union soviétique avec ses commissaires à la collectivisation ! si rien ne change, les productions des agriculteurs français vont être remplacées par des productions mondiales ou de synthèse.",Nation,1829
":movie_camera: en commission ce matin, je suis intervenue en tant qu’oratrice du pour dénoncer les incohérences budgétaires du plf2024 sur l’agriculture et la sylviculture. :right_arrow_curving_down:",Nation,1839
":green_circle: partout en france, les agriculteurs manifestent pour leur survie : ils souhaitent simplement vivre de leur travail. écoutez cette détermination et imaginez leur désespoir… :right_arrow_curving_down:",Nation,1937
"[l’invité] « sans paysans, la campagne française ne sera plus la même » - par françoisguillaume françois guillaume a été ministre de l’agriculture dans le gouvernement de jacques chirac (1986-1988).",Nation,1943
"nos combats pour l'énergie nucléaire et pour nos agriculteurs visaient directement à lutter contre les effets, sur le pouvoir d'achat, du décrochage de l'europe . mais c'est aussi parce que la france a fait le choix de punir le travail que nous décrochons. ledebat avecbellamy",Nation,2007
législatives : le parti d’edouard philippe va soutenir un candidat lr face à la majorité présidentielle,Nation,2024
":red_circle: le nouveau front populaire va-t-il durer ? :speaking_head: ""je vais continuer d'essayer de convaincre la syndicaliste avec qui je suis en compétition de retirer sa candidature"" -",Nation,2028
:newspaper: « c’est un très mauvais signal qui est envoyé ». je répondais aux questions du journal sud ouest au sujet des agriculteursencolère lot-et-garonnais mis en garde à vue.,Nation,2045
"le président de la fédération lr des hauts-de-seine, philippe juvin, acte d'un accord avec la majorité présidentielle, ensemble",Nation,2049
"alors que ses promesses sont aussi grandes que les dérives qu’elle pourrait engendrer, l’ia représente un défi majeur pour notre temps. fc éclaire sur les opportunités de cette révolution.",Nation,2057
"le contraste est fort : alors que les députés fédéraux chantent god save the king, le québec reçoit à l'assemblée nationale gabriel attal, le premier ministre français. les origines collectives finissent toujours par parler. deux histoires, deux mémoires, deux peuples. bientôt…",Nation,2125
":red_circle: le nouveau front populaire va-t-il durer ? :speaking_head: ""je suis candidate du front populaire dans le 20ème arrondissement de paris"" -",Nation,2151
l'accord européen trouvé autour des importations ukrainiennes est une véritable escroquerie puisque les plafonds d'importations se basent sur la moyenne de ces deux dernières années. nos agriculteurs vont mourir et des filières entières vont s'effondrer.,Nation,2212
la guerre civile qui vient...est là emeutes,Nation,2220
"et si vous, honnête citoyen domestique, avez un abri de jardin de plus de 5m2, le fisc le détectera via google maps et viendra vous demander des comptes",Nation,2271
"nous devons protéger nos productions locales et nos terroirs, symboles de l’excellence française. emmanuel macron n’a jamais rien fait pour défendre nos artisans, nos producteurs et nos agriculteurs. nous le ferons lorsque nous serons aux responsabilités.",Nation,2442
:ballot_box_with_ballot::check_mark_button: mon amendement visant à garantir le caractère public du programme de portage foncier permettant l’accès à la propriété pour les exploitants agricoles a été adopté. nos agriculteurs français n’ont pas à dépendre d’investisseurs privés ! loiagricole,Nation,2462
":cow_face: bravo aux agriculteurs qui, malgré leurs difficultés, sont présents en nombre pour faire découvrir leur métier et transmettre leur passion !",Nation,2468
"emmanuel macron a soutenu la décroissance agricole avec le pacte vert, la décroissance industrielle avec la fin de vente des véhicules thermiques en 2035, la décroissance énergétique avec une décennie d'atermoiements sur le nucléaire et la fermeture de fessenheim.",Nation,2481
"suite à votre incroyable mobilisation, la cagnotte de soutien à la ferme des cochons laineux – récemment forcée d'abattre son cheptel – approche les 450 000 euros. dans le silence opaque des médias.",Nation,2483
"gabriel attal nous dit vouloir""mettre l’agriculture française au-dessus de tout"". au dessus des traités européens ? au-dessus des traités de libre-échange signés hier avec la nouvelle-zélande et demain avec le chili? évidemment non. tout ceci n’est que de la pure com.",Nation,2495
"qu'il y ait des questionnements sur le projet que nous portons, c'est un fait. en revanche, il n'y aucun doute sur le bilan qui est le vôtre, aucun doute sur les agriculteurs en colère ou sur les factures d'énergie qui explosent. levenement",Nation,2526
nouvelle-calédonie : l’état annonce la reprise de tous les quartiers de nouméa après une intervention policière,Nation,2527
":red_circle: marlène schiappa : « les élus rn ne doivent pas être boycottés au nom de la démocratie, pas plus que les élus nupes, évidemment. la démocratie, c’est sacré. » :right_arrow_curving_down:",Nation,2535
"coucou monsieur lanxade, nous revoilà ! :red_circle: stop immigration, stop répressions ! :red_circle: nonaucadadebelabre actionfrancaise",Nation,2542
"""tout rouge et tout rond"", déjà le tube de l'été 2024. un résumé en chanson du débat entre rougeyron et bégaudeau au cours duquel l'idéologie souverainiste a fait naufrage.",Nation,2567
"« face aux agriculteurs, gabriel attal n'a annoncé que des mesurettes. il refuse de remettre en cause le dogme européiste qui est l'adn de renaissance. il n'a par exemple pas parlé de l'adhésion de l'ukraine à l'union européenne ou du rôle néfaste de la commission européenne !»",Nation,2631
"aux herbiers, en vendée, des agriculteurs ont découvert dans des camions frigorifiques des cargaisons de poulets ukrainiens, des cerises turques et du coulis de tomates chinois ! ce n’est qu’un échantillon… trouvez-vous cela normal ? :red_circle:voir l'émission complète :",Nation,2693
"21 ans après son discours à l'onu, dominique de villepin remet ça contre l'empire c’est un très long article de géopolitique profonde que l’ancien premier ministre signe, dans le numéro du ⁩ de juin 2024. égalité et réconciliation",Nation,2720
nouvelle-calédonie : les gouvernements australien et néo-zélandais annoncent l'affrètement de plusieurs vols pour évacuer leurs ressortissants bloqués sur place,Nation,2739
"scandaleux ! pour tenter de mettre fin à leur mobilisation du mois de janvier, attal avait promis aux agriculteurs que trois industriels seraient lourdement sanctionnés pour non respect des lois egalim. cinq mois plus tard, j’ai obtenu la preuve qu’il n’y avait aucune sanction !",Nation,2814
québécois: vous ne méritez ni le mépris ni les crachats. ma chronique du jdm.,Nation,2935
"« cette crise agricole fragilise les trois piliers du macronisme : l'européisme, le libre-échange et l'écologisme. c'est bien pour cela qu'emmanuel macron n'agira pas et tente d'enfumer les agriculteurs en surcommuniquant. il n'est plus qu'un président de carte postale !»",Nation,2976
"chaos en nouvelle-calédonie : le projet de loi qui enflamme l’archipel la nouvelle-calédonie est secouée par des violences sans précédent suite à un projet de loi visant à modifier le corps électoral, ravivant les tensions entre loyalistes et",Nation,2984
les nôtres avant les autres :handshake_light_skin_tone: soutien aux agriculteurs :tractor:,Nation,3002
"la priorité des priorités en nouvelle-calédonie, c'est le retour de l'ordre. le rôle de l’état, c'est aussi d'être auprès des acteurs économiques, des commerçants et des entreprises, qui ont vu leurs locaux partir en fumée. lagrandeconfrontation",Nation,3010
":red_circle: le nouveau front populaire va-t-il durer ? :speaking_head: ""nous avions d'autres attentes en termes de démocratie interne et ça ne l'a pas accepté"" -",Nation,3016
"la méconnaissance des sujets agricoles de lfi est affligeante. la députée propose une idée ""innovante"" : la création de coopératives agricoles... ...sauf que ça existe depuis le xixe siècle en france et que les 3/4 des agriculteurs français en font déjà partie.",Nation,3026
:red_circle: le nouveau frontpopulaire est un danger pour la république. cette coalition d’extrême-gauche qui prône la haine et la violence ne doit pas être majoritaire aux législatives. faites barrage au chaos en votant pour le rn et l’unionnationale ! bardellapremierministre,Nation,3034
"la chine inonde nos marchés avec des produits qui ne respectent aucune des normes imposées à nos chefs d'entreprise. il faut instaurer le patriotisme économique avec une priorité française et européenne dans la commande publique, la réciprocité et le juste échange.",Nation,3059
nouvelle-calédonie : des émeutes sans fin,Nation,3064
"nouvelle illustration du mépris de l’exécutif pour l’outre-mer : ni darmanin ni la ministre de l’outre-mer présents la semaine dernière en guadeloupe, n’ont cru bon d’écouter les planteurs de canne, piliers de l’économie guadeloupéenne qui font vivre des milliers d’exploitations.",Nation,3215
"ce week-end, au salon des agricultures de provence aux côtés de nos paysans. retenez juste 2 chiffres : 90% des fruits et légumes produits en provence sont exportés et 90% des fruits et légumes consommés en provence sont importés. on marche sur la tête ! vivementle9juin",Nation,3220
". : ""cherche chef désespérément"" selon notre chroniqueur, le monde politique connaît une baisse de niveau. les temps de paix choisissent des hommes que les temps de guerre envoient à la retraite. :link: chronique jdd :",Nation,3295
"les normes européennes sont déjà inadaptées pour nos pêcheurs en europe, elles le sont encore plus ici, à mayotte. c’est exactement la même chose pour les agriculteurs.",Nation,3337
":red_apple::pear: avec l’association nationale des pommes et des poires ce matin au sia2024. comme beaucoup de filières, ils demandent simplement que les mêmes règles sur les pesticides s’appliquent dans l’ensemble des pays de l’ue.",Nation,3342
l’article 6 de cette loa est avant tout cosmétique : :right_arrow: ajout redondant de mentions. :right_arrow: déséquilibre entre intérêts environnementaux et souveraineté alimentaire. :right_arrow: manque d’informations sur les plans pluriannuels de transition. :cross_mark: nous voterons contre cet article. directan,Nation,3365
"oui, c'est vrai ! et philippe de villiers, et quelques autres. globalement les souverainistes ont vu juste sur l'opération covid. mais leur dispersion est telle qu'ils ne font pas une force et finissent pas décourager ceux qui les suivent, et même ceux qui les ont précédé...",Nation,3420
":cross_mark::ballot_box_with_ballot: « un texte qui, en esquivant perpétuellement le fond du problème agricole :france:, échoue lamentablement à tenir son rang de projet de loiagricole ». nous voterons contre ce texte. directan",Nation,3487
:television: michel onfray concernant la situation en nouvelle-calédonie : « c'est une vraie guerre civile [...] des blancs sont terrés chez eux »,Nation,3503
il y a une surchauffe réglementaire aujourd'hui et nos agriculteurs n'en peuvent plus. je suis favorable à une pause réglementaire et à la fin de la stratégie de décroissance agricole. débatbfmtv,Nation,3553
« la france de la ruralité est une france dont on ne parle jamais ! nos agriculteurs sont des gens formidables qui travaillent et qui en veulent ! ce sont des gens intelligents et courageux qui font vivre notre pays. c'est pour cela qu'il faut les soutenir !»,Nation,3564
"après les accords de libre échange avec la nouvelle zélande, l’ue poignarde une nouvelle fois les éleveurs français en exonérant de droits de douane la volaille ukrainienne. qui défend les intérêts des européens face à leur dirigeants ?!",Nation,3579
vous êtes contre l’élargissement ? vous considérez que l’entrée de ces pays va ruiner notre agriculture et créer encore plus de dumping social et environnemental ? alors ne votez pas bellamy !,Nation,3581
"l’agriculture française représente à peine 0,2% des émissions mondiales de gaz à effet de serre. m. le ministre de l'agriculture , arrêtez de les accabler d'objectifs environnementaux inatteignables car ils sont exemplaires et ont déjà fait leur transition !",Nation,3598
":green_circle: un exemple de l’immobilisme du gouvernement face à la détresse des agriculteurs : :right_arrow: en juin 2023, je l’interpelle sur le nouveau nutriscore qui va impacter le pruneau. :right_arrow: 3 mois après, je reçois une réponse d’impuissance. :right_arrow: aujourd’hui, toute une filière est menacée. :right_arrow_curving_down:",Nation,3600
"soutien aux agriculteursencolère. une société qui méprise ceux qui nous nourrissent et qui entretiennent un rapport essentiel à la nature est vouée au chaos. fiers et enracinés, ils sont un modèle de courage. dieu bénisse le labeur des paysans de france !",Nation,3636
"un « poste contre » son « silence »… si l’information est avérée, cela en dit long sur la probité du gouvernement et l’intérêt que porte ce dernier aux agriculteursencolère !",Nation,3638
la chine poursuit ses manœuvres militaires près de taïwan,Nation,3640
:fire: soutien total aux agriculteurs en colère. :tractor: pas de pays sans paysans.,Nation,3649
":tomato: à fauillet chez monsieur faux, propriétaire de l’earl rouge qui produit des tomates sous la marque « les paysans de rougeline » afin d’échanger sur les problématiques de la filière.",Nation,3737
"je travaille depuis des années à un nouvel accord que je comptais proposer au moment du vote du congrès avec toute une série d'évolutions, et avec un référendum dans 40 ans. aujourd'hui, le risque majeur, c'est celui de la guerre civile. il faut trouver des solutions.",Nation,3850
réflexion constituante 1 avec « jack angaräa » (joannes itiaty) de nouvelle-calédonie nouvelle_calédonie,Nation,3873
"nos agriculteurs sont abandonnés et méprisés. l’union européenne sacrifie, via ses normes et accords de libre-échange, la petite exploitation familiale, au nom d'une agriculture agro-industrielle, avec des géants mondiaux. comme le dit françois guillaume, ancien grand ministre",Nation,3874
"les ouvriers ont été liquidés avec maastricht, c'est maintenant au tour des paysans. emmanuel macron a choisi la souveraineté européenne : le pouvoir n'est plus chez nous. le souhait de gabriel attal de restaurer la souveraineté nationale agricole relève donc de",Nation,3885
:red_circle: « notre démocratie mérite mieux que vous » : la charge de ruffin contre lfi :right_arrow_curving_down:,Nation,3936
":television: philippe rio, maire communiste de grigny (91) : si le rn gagne, « il y aura de la résistance et de la désobéissance civile, il y aura certainement quelque chose qui ressemblerait à de l'anarchie. » legislativesanticipées",Nation,3951
"il faut préserver le modèle agricole mahorais, qui est un modèle de petites structures, d’exploitations familiales et de circuits courts. à mayotte, je réitère aux agriculteurs mahorais tout mon soutien. l’état doit se tenir à leurs côtés pour les aider.",Nation,3967
"en nouvellecalédonie , la situation vire à la guerre inter-ethnique sur fond de racisme ant-blanc ! on compte déjà 2 morts et des centaines de blessés dont plus d'une centaine de policiers et gendarmes ! le seul ""appel au calme"" qu'il faut, c'est l'armée !",Nation,3991
"l'auteur de ""the great reset"", marc morano, à propos du projet de klaus schwab pour l'humanité : ""il parle essentiellement de l'abandon de la souveraineté nationale, des libertés individuelles et du transfert du pouvoir à des experts... tout ce programme vise à faire en sorte…",Nation,4007
"nouvelle-calédonie: émeutes sociales, politiques ou raciales ?",Nation,4084
les canadiens français qui vivent au canada anglais sont foutus. qui en doute encore sérieusement? --- jdm,Nation,4108
":united_states: selon reuters, les états-unis ont fomenté une campagne « antivax » aux philippines puis dans d'autres pays pour lutter contre l'influence chinoise et contre son vaccin sinovac. cela se traduisait notamment par une campagne d'influence sur les réseaux sociaux. exemple :right_arrow_curving_down:",Nation,4109
"après le vote du traité commercial avec le chili, la macronie se renie à nouveau, refusant, comme le premier ministre s’y était engagé, à protéger les agriculteurs des importations ukrainiennes. ce pouvoir cultive l’art de rendre impossible ce qui est indispensable pour le pays.",Nation,4138
":sweat_droplets: « une véritable épée de damoclès plane sur les agriculteurs qui voient les projets de rétention d’eau contestés par des associations environnementalistes zélées, bien moins soucieuse de l’écologie que de la destruction de l’agriculture française » ploa",Nation,4204
":cut_of_meat: la consommation française de viande est relativement stable, les importations explosent :chart_increasing:. mais 20% des abattoirs :france: sont menacés de fermeture actuellement. à quand une politique publique pour préserver notre souveraineté alimentaire également par ce biais ? directan",Nation,4222
:tractor: auprès des agriculteursencolère lot-et-garonnais ce matin sur le point de rassemblement de l’autoroute d’agen afin de les assurer de mon plein soutien et écouter leurs revendications.,Nation,4240
"nous voulons qu’au règne du libre-échange succède celui du ""juste échange"" dont la règle est simple: la réciprocité. il s’agit de limiter l’importation sur notre sol de produits qui ne respectent pas les normes qui sont imposées aux entreprises françaises. cpme",Nation,4245
"« la france des agriculteurs, c'est la france qui travaille ! c'est la france du mérite ! ce sont des gens qui ne comptent pas leurs heures afin de réaliser une tâche noble : nourrir les hommes. ils font partie de notre identité. j'ai pour eux un profond respect !»",Nation,4251
bravo ! les agriculteurs n’ont rien à faire au salon de l’agriculture !,Nation,4276
:tomato::cucumber: sur le stand du label zéro résidu de pesticides afin de rencontrer l’association nationale de producteurs de tomates et concombres qui font face notamment à une concurrence déloyale venue du maroc. sia2024,Nation,4288
